Opportunity ID,Opportunity Name,Store Address,Store City,Store State,Store Zip,DD Deep Link
0063i000009CphX,Fazoli's - Carmel (IN),465 E Carmel Dr,Carmel,IN,46032,https://www.doordash.com/store/1367023/en-US/?utm_source=partner-link&utm_medium=website&utm_campaign=1367023
0063i000009Cpl6,"Fazoli's - Nicholasville Road, Lexington (KY)",2200 Nicholasville Road,Lexington,KY,40503,https://www.doordash.com/store/wow-bao-lexington-1362165/en-US?utm_campaign=1362165&utm_medium=website&utm_source=partner-link
0063i000009DQ0s,Chipper's Horsetooth Lanes - Ft Collins (CO),217 W Horsetooth Rd,Ft Collins,CO,80525,https://www.doordash.com/store/1464664/en-US/?utm_source=partner-link&utm_medium=website&utm_campaign=1464664
0063i000009DQ0t,Chipper's Estes Park Lanes - Estes Park (CO),555 S St Vrain,Estes Park,CO,80517,https://www.doordash.com/en-CA/store/wow-bao---east-ray-rd--estes-park-1461859/?utm_campaign=1461859&utm_medium=website&utm_source=partner-link
0063i000009Cpka,"Fazoli's - Madison Ave, Indianapolis (IN)",8401 S. Madison Avenue,Indianapolis,IN,46227,https://www.doordash.com/store/wow-bao-indianapolis-1366639/en-US?utm_campaign=1366639&utm_medium=website&utm_source=partner-link
0063i000007BjRp,SushiYAA - Garland (TX),520 Shepherd Dr #6,Garland,TX,75042,https://www.doordash.com/store/1129538/?utm_source=partner-link&utm_medium=website&utm_campaign=1129538
0063i000009Cpj9,"Fazoli's - 86th Street, Indianapolis (IN)",2374 W 86th St,Indianapolis,IN,46260,https://www.doordash.com/store/wow-bao-indianapolis-1362134/en-US?utm_campaign=1362134&utm_medium=website&utm_source=partner-link
0063i000009DQpu,REEF Kitchens - Baltimore (BAL08),1511 Joh Ave,Baltimore,MD,21227,https://doordash.com/store/1451049/?utm_campaign=1451049&utm_medium=website&utm_source=partner-link
0063i000009Ec0U,Sizzler - West Covina (CA),1100 West Covina Parkway,West Covina,CA,91790,https://www.doordash.com/en-CA/store/wow-bao-west-covina-1486525
0063i000009Ec0V,Sizzler - Ontario (CA),2228 S. Mountain Avenue,Ontario,CA,91762,https://www.doordash.com/en-CA/store/wow-bao-ontario-1486571
0063i000009EihB,Fazoli's - Battle Creek (MI),5445 Beckley Road,Battle Creek,MI,49015,https://www.doordash.com/store/wow-bao-battle-creek-1496735/en-US
0063i000009Dyv3,Fazoli's - Paducah (KY),2935 New Holt Rd,Paducah,KY,42001,https://www.doordash.com/store/wow-bao-paducah-1496195/en-US
0063i000009DxPO,Ruby Tuesday - Middletown (DE),474 West Main St,Middletown,DE,19709,https://www.doordash.com/store/wow-bao-middletown-1413104/
0063i000009DynP,Fazoli's - Evansville (IN),899 N. Green River Rd,Evansville,IN,47715,https://www.doordash.com/store/wow-bao-evansville-1496690/en-US
0063i000009Dyvk,Fazoli's - Walker (MI),2521 Alpine Ave,Walker,MI,49544,https://www.doordash.com/store/1497462/?utm_source=partner-link&utm_medium=website&utm_campaign=1497462
0063i000009CUY8,REEF Kitchens - Chicago (CHI12),4229 N. Pulaski Road,Chicago,IL,60641,https://doordash.com/store/1322181/?utm_campaign=1322181&utm_medium=website&utm_source=partner-link
0063i000009Eo6p,Richie's Real American Diner - Rancho Cucamonga (CA),8039 Monet Ave.,Rancho Cucamonga,CA,91739,https://www.doordash.com/store/1498415/?utm_source=partner-link&utm_medium=website&utm_campaign=1498415
0063i000009DgXS,Southern Charred,510 Glenwood Ave Ste 101,Raleigh,NC,27603,https://www.doordash.com/store/1461839/?utm_source=partner-link&utm_medium=website&utm_campaign=1461839
0063i000009E3G1,Good Time Charley's - Ann Arbor (MI),1140 S University Ave,Ann Arbor,MI,48104,https://www.doordash.com/store/1522809/en-US/?utm_source=partner-link&utm_medium=website&utm_campaign=1522809
